id,trim,subTrim,condition,isOneOwner,mileage,mileageRd,age,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price
2164,550,unsp,CPO,FALSE,21408,21408,4,unsp,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,43,61835.45914
2165,550,unsp,New,FALSE,41,10000,1,Blue,4.6,Gasoline,CA,Pac,Premium,Alloy,unsp,66,112579.8319
2166,550,unsp,New,FALSE,25,10000,2,White,4.6,Gasoline,CO,Mtn,unsp,unsp,20,15,113596.0701
2167,550,unsp,New,FALSE,5,10000,1,Silver,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,71,110718.7814
2168,550,unsp,Used,FALSE,83700,83700,7,White,5.5,Gasoline,TX,WSC,unsp,unsp,unsp,38,31002.72783
2169,550,unsp,Used,FALSE,37523,37523,5,Gray,5.5,Gasoline,NJ,Mid,unsp,unsp,unsp,56,48109.87557
2170,420,unsp,Used,FALSE,133430,133430,22,Black,4.2,Gasoline,VA,SoA,unsp,Alloy,unsp,11,4133.640052
2171,550,unsp,Used,TRUE,31000,31000,5,Black,5.5,Gasoline,MI,ENC,Harman Kardon,unsp,unsp,86,48321.01972
2172,63 AMG,unsp,Used,FALSE,43917,43917,8,White,6.3,Gasoline,MD,SoA,Premium,Alloy,unsp,64,47401.58315
2173,350,unsp,Used,FALSE,27867,27867,4,Silver,3,Diesel,TX,WSC,Harman Kardon,Alloy,unsp,60,55063.35503
2174,550,unsp,CPO,FALSE,3298,10000,5,Black,5.5,Gasoline,TX,WSC,unsp,unsp,unsp,9,66704.11157
2175,550,unsp,New,FALSE,12,10000,1,Silver,4.6,Gasoline,FL,SoA,Premium,unsp,unsp,85,112804.5727
2176,63 AMG,unsp,New,FALSE,12,10000,1,Black,5.5,Gasoline,CA,Pac,unsp,Alloy,20,63,162149.2102
2177,430,unsp,Used,FALSE,51752,51752,11,Silver,4.3,Gasoline,NJ,Mid,unsp,Alloy,unsp,45,17352.92649
2178,550,unsp,Used,FALSE,113495,113495,8,Black,5.5,Gasoline,MD,SoA,Premium,Alloy,unsp,29,25592.44413
2179,550,unsp,New,FALSE,56,10000,2,unsp,4.6,Gasoline,NY,Mid,unsp,unsp,19,23,109640.2982
2180,550,unsp,New,FALSE,10,10000,1,White,4.6,Gasoline,GA,SoA,Harman Kardon,Alloy,18,67,113213.3538
2181,550,unsp,New,FALSE,7,10000,1,Black,4.6,Gasoline,AL,ESC,unsp,Alloy,unsp,36,112560.5839
2182,430,unsp,Used,FALSE,131440,131440,14,White,4.3,Gasoline,CA,Pac,unsp,unsp,unsp,5,8946.224673
2183,550,unsp,New,FALSE,7,10000,2,Blue,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,1,112621.8946
2184,550,unsp,New,FALSE,6,10000,2,Black,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,0,110669.7803
2185,550,unsp,CPO,TRUE,38951,38951,4,Black,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,19,82,54459.78526
2186,550,unsp,Used,FALSE,32734,32734,9,Black,5.5,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,17,34615.86505
2187,600,unsp,Used,FALSE,107575,107575,14,Black,5.8,Gasoline,NJ,Mid,unsp,unsp,unsp,1,7237.323281
2188,550,unsp,New,FALSE,787,10000,1,Black,4.6,Gasoline,MO,WNC,unsp,Alloy,unsp,77,113444.2459
2189,65 AMG,unsp,New,FALSE,14,10000,1,Black,uns,unsp,FL,SoA,unsp,unsp,unsp,45,185121.3025
2190,550,unsp,New,FALSE,10,10000,1,Black,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,58,112290.3719
2191,550,unsp,New,FALSE,5,10000,1,Blue,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0,112704.5234
2192,550,unsp,Used,TRUE,57450,57450,6,Blue,5.5,Gasoline,MA,New,unsp,unsp,unsp,21,39583.41908
2193,550,unsp,New,FALSE,807,10000,1,Black,4.6,Gasoline,AZ,Mtn,Premium,unsp,20,84,115515.0384
2194,430,unsp,Used,FALSE,81691,81691,13,unsp,4.3,Gasoline,UT,Mtn,Bose,unsp,unsp,45,13494.16948
2195,600,unsp,CPO,FALSE,51173,51173,6,Black,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,20,58674.66776
2196,500,unsp,Used,FALSE,68279,68279,22,Silver,5,Gasoline,FL,SoA,unsp,Alloy,unsp,16,10898.94842
2197,550,unsp,Used,FALSE,101268,101268,8,White,5.5,Gasoline,NJ,Mid,unsp,unsp,unsp,8,27674.03303
2198,550,unsp,Used,FALSE,90272,90272,6,Black,5.5,Gasoline,NY,Mid,unsp,Alloy,unsp,50,35493.59495
2199,550,unsp,Used,TRUE,31280,31280,4,Black,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,85,52200.65813
2200,550,unsp,Used,TRUE,25982,25982,4,Gray,4.6,Gasoline,TN,ESC,Harman Kardon,unsp,unsp,51,55471.10618
2201,550,unsp,Used,FALSE,46729,46729,5,Black,5.5,Gasoline,FL,SoA,Premium,Alloy,18,69,44780.0904
2202,550,unsp,New,FALSE,6,10000,1,Black,4.6,Gasoline,NY,Mid,Premium,unsp,unsp,76,112092.0584
2203,550,unsp,New,FALSE,5,10000,1,Blue,4.6,Gasoline,MD,SoA,Premium,unsp,unsp,77,112658.3003
2204,550,unsp,Used,FALSE,45716,45716,5,Black,5.5,Gasoline,MS,ESC,unsp,Alloy,unsp,66,45919.36277
2205,550,unsp,Used,FALSE,19658,19658,6,Black,5.5,Gasoline,NY,Mid,Premium,Alloy,unsp,70,49235.52508
2206,550,unsp,CPO,TRUE,25761,25761,4,Silver,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,11,60211.67383
2207,550,unsp,Used,FALSE,99000,99000,9,Black,5.5,Gasoline,GA,SoA,unsp,Alloy,unsp,43,24043.59103
2208,63 AMG,unsp,Used,FALSE,34583,34583,5,Silver,5.5,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,77,66971.72737
2209,550,unsp,New,FALSE,10,10000,1,Silver,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,60,111358.0831
2210,550,unsp,Used,FALSE,80728,80728,8,Black,5.5,Gasoline,IN,ENC,unsp,Alloy,unsp,85,29014.44516
2211,550,unsp,New,FALSE,9,10000,1,Silver,4.6,Gasoline,TX,WSC,unsp,unsp,18,84,113046.9112
2212,550,unsp,CPO,FALSE,18684,18684,5,Green,5.5,Gasoline,NY,Mid,unsp,unsp,unsp,37,57406.11221
2213,550,unsp,New,FALSE,8,10000,1,Black,4.6,Gasoline,CA,Pac,unsp,unsp,18,86,113772.2939
2214,550,unsp,CPO,TRUE,8764,10000,4,Black,4.6,Gasoline,FL,SoA,unsp,Alloy,unsp,57,67739.98376
2215,550,unsp,New,FALSE,7,10000,1,White,4.6,Gasoline,FL,SoA,Premium,Alloy,unsp,68,112888.8091
2216,550,unsp,New,FALSE,1,10000,1,Blue,4.6,Gasoline,CA,Pac,unsp,unsp,20,13,113350.3128
2217,550,unsp,Used,FALSE,62097,62097,9,Silver,5.5,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,20,28123.42825
2218,430,unsp,Used,FALSE,97955,97955,12,Silver,4.3,Gasoline,CA,Pac,unsp,unsp,unsp,6,11665.18278
2219,550,unsp,New,FALSE,11,10000,2,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,5,110823.5164
2220,550,unsp,New,FALSE,18,10000,2,White,4.6,Gasoline,FL,SoA,Premium,Alloy,20,73,110960.1303
2221,430,unsp,Used,FALSE,257157,255000,16,Red,4.3,Gasoline,NC,SoA,unsp,Alloy,16,39,5850.705183
2222,550,unsp,Used,FALSE,20656,20656,6,Black,5.5,Gasoline,MS,ESC,unsp,unsp,unsp,54,50692.79637
2223,550,unsp,Used,FALSE,47618,47618,4,Silver,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,18,55,47760.80792
2224,550,unsp,CPO,FALSE,28726,28726,4,Silver,4.6,Gasoline,CA,Pac,unsp,Alloy,unsp,77,56539.60962
2225,550,unsp,New,FALSE,1641,10000,2,Silver,4.6,Gasoline,OK,WSC,Premium,Alloy,unsp,66,110401.0413
2226,550,unsp,Used,FALSE,13527,13527,8,Black,5.5,Gasoline,PA,Mid,unsp,Alloy,unsp,47,40755.41216
2227,550,unsp,New,FALSE,7,10000,1,Black,4.6,Gasoline,NY,Mid,unsp,unsp,19,4,113135.2185
2228,550,unsp,Used,FALSE,81034,81034,8,Gray,5.5,Gasoline,NC,SoA,unsp,unsp,unsp,0,30710.04645
2229,550,unsp,New,FALSE,9,10000,1,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,66,112892.5761
2230,550,unsp,Used,TRUE,26755,26755,8,Gray,5.5,Gasoline,NY,Mid,unsp,unsp,unsp,52,41397.37098
2231,500,unsp,Used,TRUE,68297,68297,13,Silver,5,Gasoline,NY,Mid,Premium,Alloy,unsp,55,14249.96738
2232,550,unsp,Used,FALSE,61215,61215,6,Silver,5.5,Gasoline,GA,SoA,unsp,Alloy,unsp,54,39271.7884
2233,600,unsp,Used,FALSE,67567,67567,12,Silver,5.5,Gasoline,TN,ESC,Bose,Alloy,unsp,59,19693.1249
2234,550,unsp,New,FALSE,22,10000,2,Black,4.6,Gasoline,PA,Mid,Premium,Alloy,unsp,64,111210.4991
2235,550,unsp,CPO,TRUE,35087,35087,3,Black,4.6,Gasoline,CA,Pac,Premium,Alloy,unsp,83,60095.46139
2236,350,unsp,Used,TRUE,6595,10000,4,Red,3,Diesel,CT,New,Harman Kardon,Alloy,unsp,80,55883.02584
2237,550,unsp,CPO,TRUE,24149,24149,4,White,4.6,Gasoline,PA,Mid,unsp,unsp,unsp,11,61410.15309
2238,63 AMG,unsp,Used,FALSE,28363,28363,5,Silver,5.5,Gasoline,TX,WSC,Premium,unsp,unsp,41,69546.07269
2239,550,unsp,New,FALSE,5,10000,1,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,1,113056.3454
2240,550,unsp,Used,FALSE,50455,50455,6,Red,5.5,Gasoline,NY,Mid,Harman Kardon,unsp,unsp,87,40545.08254
2241,550,unsp,New,FALSE,12,10000,1,Blue,uns,unsp,OR,Pac,unsp,unsp,unsp,0,116334.4743
2242,550,unsp,New,FALSE,8,10000,1,Silver,4.6,Gasoline,OH,ENC,Premium,Alloy,unsp,68,111479.0505
2243,550,unsp,New,FALSE,8,10000,1,White,4.6,Gasoline,NJ,Mid,Premium,Alloy,19,77,112815.2893
2244,430,unsp,Used,FALSE,153384,150000,16,Silver,4.3,Gasoline,TN,ESC,Premium,unsp,unsp,36,6224.110703
2245,550,unsp,Used,TRUE,47000,47000,6,Silver,5.5,Gasoline,IL,ENC,Harman Kardon,Alloy,18,59,41840.08614
2246,550,unsp,Used,FALSE,28835,28835,9,Silver,5.5,Gasoline,PA,Mid,Premium,Alloy,unsp,57,34504.0306
2247,550,unsp,New,FALSE,8,10000,2,Silver,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,13,108809.9031
2248,550,unsp,Used,FALSE,29344,29344,7,Gray,5.5,Gasoline,MA,New,Premium,Alloy,unsp,62,39190.5396
2249,63 AMG,unsp,New,FALSE,26,10000,1,unsp,uns,Gasoline,CA,Pac,unsp,unsp,unsp,0,143319.5553
2250,500,unsp,Used,FALSE,120255,120255,15,Black,5,Gasoline,VA,SoA,unsp,Alloy,unsp,14,7767.792568
2251,550,unsp,Used,FALSE,87124,87124,9,Silver,5.5,Gasoline,CA,Pac,Premium,unsp,unsp,9,24645.98572
2252,550,unsp,New,FALSE,9,10000,2,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0,110424.3497
2253,430,unsp,Used,FALSE,127951,127951,12,unsp,4.3,Gasoline,CA,Pac,unsp,Chrome,20,59,10947.14188
2254,550,unsp,New,FALSE,12,10000,1,White,4.6,Gasoline,MA,New,unsp,unsp,unsp,77,113075.1948
2255,550,unsp,Used,FALSE,29877,29877,9,Silver,5.5,Gasoline,VA,SoA,Premium,Alloy,unsp,43,34036.19115
2256,550,unsp,CPO,FALSE,47885,47885,5,Black,5.5,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,74,47711.46111
2257,550,unsp,Used,TRUE,43155,43155,8,Silver,5.5,Gasoline,TX,WSC,unsp,Alloy,unsp,55,35180.6439
2258,500,unsp,Used,FALSE,115278,115278,12,Gold,5,Gasoline,FL,SoA,Premium,unsp,unsp,33,11482.68202
2259,550,unsp,New,FALSE,19,10000,2,Blue,4.6,Gasoline,CA,Pac,unsp,unsp,20,10,109306.0872
2260,420,unsp,Used,FALSE,231464,225000,22,Black,4.2,Gasoline,CA,Pac,unsp,unsp,unsp,0,4396.366157
2261,500,unsp,Used,FALSE,163902,150000,11,White,5,Gasoline,FL,SoA,unsp,unsp,unsp,0,11308.85703
2262,550,unsp,New,FALSE,10,10000,2,White,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,54,111457.2422
2263,550,unsp,Used,FALSE,64050,64050,8,Silver,5.5,Gasoline,FL,SoA,unsp,Alloy,unsp,47,33638.18713
2264,420,unsp,Used,FALSE,101642,101642,21,Black,4.2,Gasoline,CA,Pac,Premium,Alloy,unsp,26,6153.77782
2265,430,unsp,Used,FALSE,118483,118483,13,Silver,4.3,Gasoline,GA,SoA,unsp,unsp,unsp,5,10305.48454
2266,63 AMG,unsp,New,FALSE,10,10000,1,Black,5.5,Gasoline,NY,Mid,Premium,Alloy,unsp,58,162361.1822
2267,550,unsp,New,FALSE,6,10000,1,White,4.6,Gasoline,MN,WNC,Premium,Alloy,19,62,113200.6924
2268,550,unsp,New,FALSE,17,10000,1,Black,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,48,112828.4303
2269,65 AMG,unsp,Used,FALSE,15010,15010,9,Silver,6,Gasoline,MI,ENC,unsp,Alloy,unsp,48,71186.04032
2270,550,unsp,Used,TRUE,21145,21145,4,White,4.6,Gasoline,TN,ESC,Harman Kardon,unsp,unsp,51,57856.81572
2271,550,unsp,New,FALSE,25,10000,3,Black,4.6,Gasoline,OR,Pac,Premium,Alloy,unsp,22,98473.97557
2272,550,unsp,New,FALSE,6,10000,1,Black,4.6,Gasoline,NV,Mtn,unsp,unsp,18,12,110652.2822
2273,550,unsp,New,FALSE,9,10000,1,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,68,111970.8769
2274,550,unsp,New,FALSE,9,10000,1,Black,4.6,Gasoline,CA,Pac,Premium,unsp,20,84,113842.5514
2275,550,unsp,New,FALSE,10,10000,1,Silver,4.6,Gasoline,MA,New,unsp,unsp,20,10,109282.6161
2276,350,unsp,Used,FALSE,43410,43410,4,Silver,3,Diesel,NH,New,Harman Kardon,unsp,unsp,75,45577.51089
2277,550,unsp,New,FALSE,9,10000,2,Silver,4.6,Gasoline,NY,Mid,unsp,Alloy,unsp,55,109951.8756
2278,550,unsp,New,FALSE,8,10000,1,White,4.6,Gasoline,CA,Pac,unsp,unsp,18,83,115173.8895
2279,550,unsp,Used,FALSE,24076,24076,4,Black,4.6,Gasoline,TX,WSC,Premium,unsp,unsp,36,56787.99185
2280,550,unsp,Used,FALSE,13220,13220,4,Black,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,58,60975.38675
2281,550,unsp,Used,FALSE,89486,89486,8,Black,5.5,Gasoline,CA,Pac,Harman Kardon,unsp,unsp,84,27370.25331
2282,500,unsp,Used,FALSE,139572,139572,16,Blue,5,Gasoline,SC,SoA,unsp,unsp,unsp,0,6814.564554
2283,550,unsp,Used,FALSE,97967,97967,9,Black,5.5,Gasoline,CA,Pac,Harman Kardon,unsp,unsp,70,23148.93622
2284,550,unsp,CPO,FALSE,26866,26866,6,Silver,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,5,53183.33782
2285,550,unsp,CPO,FALSE,20805,20805,3,Black,4.6,Gasoline,CO,Mtn,Premium,Alloy,unsp,70,67600.22209
2286,550,unsp,CPO,FALSE,56800,56800,7,Gray,5.5,Gasoline,NC,SoA,Premium,Alloy,unsp,36,39351.89561
2287,550,unsp,Used,FALSE,11,10000,1,Silver,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,1,111091.85
2288,550,unsp,CPO,FALSE,27380,27380,4,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,71,57925.82036
2289,430,unsp,Used,FALSE,165870,165000,10,Gray,4.3,Gasoline,CA,Pac,unsp,Alloy,unsp,27,12006.05326
2290,550,unsp,New,FALSE,6,10000,2,Black,4.6,Gasoline,CA,Pac,Premium,Alloy,unsp,63,110676.3665
2291,63 AMG,unsp,New,FALSE,24,10000,1,White,5.5,Gasoline,WI,ENC,unsp,unsp,20,81,168981.1088
2292,550,unsp,New,FALSE,15,10000,2,Silver,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,0,110893.9258
2293,500,unsp,Used,FALSE,102834,102834,14,Silver,5,Gasoline,NJ,Mid,unsp,unsp,unsp,32,9685.0275
2294,550,unsp,Used,FALSE,48099,48099,5,Black,5.5,Gasoline,TX,WSC,Premium,unsp,unsp,40,45276.35523
2295,550,unsp,Used,FALSE,46002,46002,4,White,4.6,Gasoline,NY,Mid,unsp,Alloy,unsp,21,50009.72022
2296,550,unsp,New,FALSE,9,10000,1,Black,4.6,Gasoline,FL,SoA,unsp,Alloy,18,63,112177.4065
2297,550,unsp,New,FALSE,7,10000,1,Blue,4.6,Gasoline,MA,New,unsp,Alloy,18,105,112114.7333
2298,550,unsp,CPO,FALSE,20454,20454,4,unsp,4.6,Gasoline,AZ,Mtn,Premium,Alloy,unsp,76,60123.27472
2299,550,unsp,Used,FALSE,69694,69694,8,Black,5.5,Gasoline,MD,SoA,unsp,unsp,unsp,35,32127.89208
2300,550,unsp,New,FALSE,12,10000,1,unsp,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,0,111148.6998
2301,550,unsp,Used,FALSE,45993,45993,9,Silver,5.5,Gasoline,FL,SoA,unsp,unsp,unsp,25,31305.11392
2302,550,unsp,Used,FALSE,76697,76697,8,Black,5.5,Gasoline,TN,ESC,Premium,Alloy,unsp,82,29801.31272
2303,550,unsp,Used,FALSE,99191,99191,9,White,5.5,Gasoline,CA,Pac,Premium,Premium,unsp,45,24885.92573
2304,550,unsp,Used,FALSE,15110,15110,3,Black,4.6,Gasoline,MA,New,Harman Kardon,Alloy,18,90,65783.83855
2305,550,unsp,Used,FALSE,78525,78525,9,Silver,5.5,Gasoline,CA,Pac,Premium,Alloy,unsp,48,26478.45273
2306,550,unsp,New,FALSE,24,10000,1,Silver,4.6,Gasoline,NV,Mtn,unsp,unsp,20,11,111300.3428
2307,430,unsp,Used,FALSE,96942,96942,10,unsp,4.3,Gasoline,CA,Pac,Premium,Alloy,unsp,57,13775.52312
2308,550,unsp,Used,TRUE,49222,49222,5,Silver,5.5,Gasoline,NJ,Mid,Harman Kardon,unsp,unsp,107,43654.2763
2309,550,unsp,Used,TRUE,67105,67105,7,Silver,5.5,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,48,32687.92031
2310,550,unsp,New,FALSE,10,10000,1,Gray,4.6,Gasoline,CA,Pac,unsp,Alloy,18,86,114589.4531
2311,430,unsp,Used,FALSE,169608,165000,14,Black,4.3,Gasoline,AL,ESC,unsp,unsp,unsp,22,7819.051804
2312,550,unsp,Used,FALSE,81122,81122,9,Gray,5.5,Gasoline,MD,SoA,unsp,Alloy,unsp,61,26126.74188
2313,350,unsp,Used,FALSE,105237,105237,10,Gray,3.7,Gasoline,GA,SoA,Premium,Alloy,unsp,43,11662.86414
2314,600,unsp,Used,FALSE,54068,54068,8,Black,5.5,Gasoline,TN,ESC,Harman Kardon,unsp,unsp,44,39265.46772
2315,550,unsp,New,FALSE,16,10000,2,Black,4.6,Gasoline,PA,Mid,Premium,Alloy,unsp,66,111046.4892
2316,550,unsp,Used,FALSE,75905,75905,7,White,5.5,Gasoline,MD,SoA,Premium,Alloy,unsp,60,33323.66065
2317,550,unsp,New,FALSE,5,10000,1,Black,4.6,Gasoline,CA,Pac,unsp,unsp,19,11,110510.6549
2318,400,Hybrid,Used,FALSE,33900,33900,6,Black,3.5,Hybrid,CA,Pac,unsp,unsp,unsp,17,41354.4407
2319,550,unsp,CPO,TRUE,32187,32187,5,Black,5.5,Gasoline,PA,Mid,Premium,Alloy,unsp,71,52971.83325
2320,430,unsp,Used,FALSE,150170,150000,14,Silver,4.3,Gasoline,LA,WSC,unsp,unsp,unsp,5,7577.793764
2321,500,unsp,Used,FALSE,92244,92244,10,Silver,5,Gasoline,CA,Pac,Bose,Alloy,unsp,67,15353.66545
2322,65 AMG,unsp,New,FALSE,6,10000,1,White,6,Gasoline,CA,Pac,unsp,unsp,20,1,227928.6824
2323,63 AMG,unsp,New,FALSE,13,10000,1,Black,5.5,unsp,NJ,Mid,unsp,unsp,unsp,0,162758.5167
2324,550,unsp,New,FALSE,5,10000,1,White,uns,Gasoline,CA,Pac,unsp,unsp,unsp,0,115511.6782
2325,550,unsp,New,FALSE,5,10000,2,Black,4.6,Gasoline,TX,WSC,unsp,unsp,unsp,0,111130.937
2326,320,unsp,Used,FALSE,87000,87000,19,Silver,3.2,Gasoline,CA,Pac,unsp,unsp,unsp,1,8225.820833
2327,500,unsp,Used,FALSE,91025,91025,10,Gray,5,Gasoline,FL,SoA,unsp,unsp,unsp,55,15695.88019
2328,550,unsp,Used,FALSE,37826,37826,4,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,5,53349.44058
2329,550,unsp,Used,FALSE,51886,51886,9,Silver,5.5,Gasoline,IL,ENC,Premium,Alloy,unsp,55,29920.39292
2330,550,unsp,Used,FALSE,27089,27089,6,Blue,5.5,Gasoline,FL,SoA,Harman Kardon,Alloy,unsp,74,44662.09808
2331,550,unsp,CPO,FALSE,12204,12204,4,Silver,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,4,64676.83884
2332,550,unsp,Used,TRUE,42035,42035,8,Black,5.5,Gasoline,TX,WSC,unsp,Alloy,unsp,58,37974.75704
2333,63 AMG,unsp,New,FALSE,12,10000,1,Silver,5.5,Gasoline,FL,SoA,unsp,unsp,unsp,49,163000.0134
2334,63 AMG,unsp,Used,FALSE,23986,23986,5,Black,5.5,Gasoline,FL,SoA,unsp,unsp,unsp,0,77954.0944
2335,550,unsp,New,FALSE,6,10000,2,White,4.6,Gasoline,CA,Pac,Premium,Alloy,unsp,66,111996.038
2336,430,unsp,Used,FALSE,68911,68911,16,White,4.3,Gasoline,FL,SoA,Premium,Alloy,unsp,46,11410.20656
2337,550,unsp,Used,FALSE,81109,81109,8,Blue,5.5,Gasoline,TN,ESC,Harman Kardon,Premium,unsp,55,28236.4359
2338,550,unsp,Used,TRUE,44321,44321,6,White,5.5,Gasoline,MD,SoA,unsp,unsp,unsp,9,43094.30149
2339,63 AMG,unsp,Used,FALSE,80265,80265,8,Black,6.3,Gasoline,TX,WSC,unsp,Alloy,unsp,49,37354.9221
2340,550,unsp,Used,FALSE,67564,67564,9,unsp,5.5,Gasoline,WA,Pac,Premium,Alloy,unsp,61,28095.69884
2341,550,unsp,Used,FALSE,28643,28643,8,Gray,5.5,Gasoline,FL,SoA,unsp,Alloy,unsp,17,38806.49425
2342,63 AMG,unsp,New,FALSE,17,10000,1,Silver,5.5,Gasoline,NY,Mid,unsp,unsp,unsp,3,166015.6943
2343,550,unsp,Used,FALSE,96057,96057,9,Silver,5.5,Gasoline,CA,Pac,Premium,Alloy,unsp,22,24496.6475
2344,63 AMG,unsp,New,FALSE,4,10000,1,unsp,uns,unsp,NC,SoA,unsp,unsp,unsp,0,132758.9687
2345,550,unsp,New,FALSE,7,10000,1,Black,4.6,Gasoline,DE,SoA,unsp,unsp,unsp,0,113024.5949
2346,550,unsp,Used,FALSE,30321,30321,5,Black,5.5,Gasoline,CT,New,unsp,Alloy,unsp,24,50139.64447
2347,430,unsp,Used,FALSE,99020,99020,12,Beige,4.3,Gasoline,VA,SoA,unsp,Alloy,unsp,51,11159.36477
2348,550,unsp,CPO,FALSE,18620,18620,4,Silver,4.6,Gasoline,NJ,Mid,unsp,unsp,unsp,1,62598.59118
2349,550,unsp,New,FALSE,11,10000,1,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,67,112742.2811
2350,550,unsp,New,FALSE,8,10000,1,Black,4.6,Gasoline,OH,ENC,Premium,Alloy,unsp,68,112470.8588
2351,600,unsp,Used,FALSE,51658,51658,9,White,5.5,Gasoline,NC,SoA,unsp,unsp,unsp,1,38230.2419
2352,550,unsp,New,FALSE,8,10000,2,Blue,4.6,Gasoline,OH,ENC,Premium,Alloy,unsp,64,111639.0671
2353,550,unsp,Used,FALSE,40356,40356,4,Brown,4.6,Gasoline,WA,Pac,Premium,unsp,unsp,53,52234.45558
2354,550,unsp,New,FALSE,24,10000,1,Blue,4.6,Gasoline,VA,SoA,Premium,unsp,unsp,88,114751.5277
2355,550,unsp,New,FALSE,7,10000,1,Black,4.6,Gasoline,NY,Mid,unsp,unsp,19,4,113135.2185
2356,550,unsp,New,FALSE,10,10000,1,Black,4.6,Gasoline,NY,Mid,unsp,unsp,19,3,112518.8481
2357,63 AMG,unsp,Used,TRUE,24099,24099,4,Black,5.5,Gasoline,GA,SoA,Premium,unsp,unsp,48,81751.48664
2358,550,unsp,Used,FALSE,26924,26924,4,Silver,4.6,Gasoline,FL,SoA,Premium,Alloy,19,73,55256.30216
2359,550,unsp,CPO,FALSE,27315,27315,5,Silver,5.5,Gasoline,NY,Mid,unsp,unsp,unsp,1,55234.19067
2360,63 AMG,unsp,Used,FALSE,34338,34338,7,Black,6.3,Gasoline,CA,Pac,unsp,unsp,unsp,37,52922.02711
2361,550,unsp,CPO,TRUE,12256,12256,3,unsp,4.6,Gasoline,FL,SoA,unsp,Alloy,unsp,46,71230.55333
2362,63 AMG,unsp,Used,FALSE,53700,53700,8,Black,6.3,Gasoline,AZ,Mtn,unsp,unsp,unsp,38,44802.26363
2363,550,unsp,New,FALSE,11,10000,1,Black,4.6,Gasoline,CA,Pac,Premium,unsp,20,89,114453.0629
2364,500,unsp,Used,FALSE,70956,70956,12,Black,5,Gasoline,VA,SoA,Bose,Alloy,unsp,25,15286.29652
2365,550,unsp,CPO,TRUE,22120,22120,4,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,5,60001.25561
2366,550,unsp,CPO,FALSE,52671,52671,7,White,5.5,Gasoline,OH,ENC,unsp,unsp,unsp,58,41561.5827
2367,63 AMG,unsp,New,FALSE,6,10000,1,unsp,uns,unsp,MO,WNC,unsp,unsp,unsp,0,135133.7252
2368,550,unsp,Used,TRUE,31961,31961,4,Silver,4.6,Gasoline,MO,WNC,Harman Kardon,unsp,unsp,38,52977.73808
2369,550,unsp,New,FALSE,5,10000,1,Black,4.6,Gasoline,CA,Pac,unsp,unsp,18,87,112720.7848
2370,550,unsp,Used,FALSE,79641,79641,8,unsp,5.5,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,96,29611.69005
2371,500,unsp,Used,FALSE,94696,94696,11,Silver,5,Gasoline,FL,SoA,unsp,Alloy,unsp,52,13477.28743
2372,400,Hybrid,CPO,TRUE,33352,33352,6,Silver,3.5,Hybrid,CA,Pac,Harman Kardon,Alloy,unsp,46,43997.53728
2373,600,unsp,Used,FALSE,72836,72836,13,Black,5.5,Gasoline,FL,SoA,Premium,Alloy,unsp,69,17017.13359
2374,550,unsp,Used,FALSE,36688,36688,5,White,5.5,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,57,50157.30656
2375,550,unsp,Used,FALSE,89633,89633,9,Gray,5.5,Gasoline,OH,ENC,Harman Kardon,Alloy,unsp,61,24762.72039
