,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,Actual,Boosting,Lasso,
9657,550,unsp,CPO,t,27534,2011,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,40,"48,485","55,030","51,728","6,545"
2184,550,unsp,New,f,6,2014,Black,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"104,125","110,670","110,913","6,545"
3400,550,unsp,New,f,8,2015,unsp,4.6 L,Gasoline,CA,Pac,Premium,unsp,unsp,77,"120,025","113,480","112,511","6,545"
7192,550,unsp,New,f,2,2015,Black,4.7 L,Gasoline,OH,ENC,Premium,Alloy,unsp,86,"149,575","143,033","130,334","6,542"
9347,550,unsp,New,f,8,2014,Black,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,2,"117,825","111,283","111,145","6,542"
1206,63 AMG,unsp,Used,f,13480,2012,unsp,5.5 L,Gasoline,CA,Pac,Bang Olufsen,Alloy,unsp,78,"84,888","91,428","83,145","6,540"
6971,550,unsp,New,f,11,2015,Black,4.6 L,Gasoline,MA,New,unsp,unsp,unsp,0,"106,475","113,015","112,344","6,540"
7581,63 AMG,unsp,Used,t,39995,2009,Black,6.3 L,Gasoline,NY,Mid,Harman Kardon,Alloy,20,71,"57,996","51,456","52,129","6,540"
2267,550,unsp,New,f,6,2015,White,4.6 L,Gasoline,MN,WNC,Premium,Alloy,19,62,"119,740","113,201","113,239","6,539"
4140,550,unsp,CPO,f,29101,2010,Silver,5.5 L,Gasoline,HI,Pac,Premium,Alloy,unsp,69,"57,000","50,462","50,436","6,538"
4135,550,unsp,New,f,7,2015,Black,4.6 L,Gasoline,NV,Mtn,unsp,unsp,unsp,49,"119,380","112,842","115,446","6,538"
5346,550,unsp,New,f,5,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,83,"106,075","112,612","112,364","6,537"
1850,65 AMG,unsp,New,f,40,2015,Black,6.0 L,Gasoline,CA,Pac,unsp,unsp,unsp,1,"225,425","231,962","228,152","6,537"
7917,550,unsp,New,f,7,2014,Silver,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,11,"100,991","107,526","111,027","6,535"
2715,550,unsp,CPO,f,15458,2013,Black,4.6 L,Gasoline,NY,Mid,Harman Kardon,Alloy,unsp,74,"63,995","70,529","65,842","6,534"
7288,550,unsp,Used,f,62460,2008,Silver,5.5 L,Gasoline,CO,Mtn,unsp,unsp,unsp,27,"39,777","33,246","31,794","6,531"
1759,550,unsp,CPO,t,3935,2013,White,4.6 L,Gasoline,VA,SoA,unsp,unsp,unsp,2,"74,996","81,521","74,548","6,525"
6423,550,unsp,New,f,14,2015,Black,4.6 L,Gasoline,FL,SoA,Premium,unsp,unsp,76,"119,055","112,532","112,407","6,523"
6308,550,unsp,New,f,8,2015,Blue,4.6 L,Gasoline,NY,Mid,Premium,unsp,unsp,74,"106,895","113,412","112,499","6,517"
1405,550,unsp,Used,f,35274,2012,Blue,4.6 L,Gasoline,TX,WSC,Harman Kardon,unsp,unsp,22,"58,992","52,477","49,297","6,515"
3944,550,unsp,New,f,10,2014,Black,4.6 L,Gasoline,CO,Mtn,unsp,unsp,unsp,27,"117,865","111,351","111,102","6,514"
8137,550,unsp,New,f,5,2014,Silver,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"103,645","110,153","111,091","6,508"
9141,550,unsp,New,f,6,2014,Silver,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"103,645","110,153","111,057","6,508"
99,65 AMG,unsp,Used,f,58142,2007,Black,6.0 L,Gasoline,TX,WSC,Premium,unsp,unsp,47,"42,980","49,487","52,409","6,507"
8121,550,unsp,New,f,6,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,87,"106,215","112,721","112,432","6,506"
9417,550,unsp,CPO,f,3580,2015,Black,4.6 L,Gasoline,GA,SoA,Premium,Alloy,19,85,"111,900","105,396","101,934","6,504"
6436,550,unsp,New,f,11,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,Alloy,19,85,"107,435","113,939","112,571","6,504"
1103,550,unsp,New,f,11,2015,unsp,4.6 L,Gasoline,KY,ESC,Premium,Alloy,unsp,70,"106,595","113,099","112,544","6,504"
7308,550,unsp,New,f,5,2014,Silver,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,62,"103,995","110,498","110,805","6,503"
5889,550,unsp,New,f,19,2014,Black,4.6 L,Gasoline,CA,Pac,Premium,Alloy,unsp,68,"116,715","110,216","110,906","6,499"
7120,550,unsp,CPO,f,14311,2013,Black,4.6 L,Gasoline,NY,Mid,Premium,Alloy,unsp,85,"62,991","69,489","66,226","6,498"
8114,500,unsp,Used,f,110000,2002,Gray,5.0 L,Gasoline,AZ,Mtn,unsp,Alloy,unsp,56,"14,900","8,402","10,182","6,498"
2473,550,unsp,New,f,6,2015,Black,4.6 L,Gasoline,CO,Mtn,unsp,unsp,unsp,0,"119,555","113,058","115,176","6,497"
8681,550,unsp,New,f,6,2014,Black,4.6 L,Gasoline,NY,Mid,unsp,unsp,unsp,61,"104,565","111,061","111,199","6,496"
8763,550,unsp,New,f,10,2015,White,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,48,"107,020","113,514","113,137","6,494"
3669,550,unsp,CPO,f,48031,2011,Silver,5.5 L,Gasoline,OH,ENC,unsp,unsp,unsp,20,"42,974","49,468","48,055","6,494"
8585,550,unsp,CPO,f,21710,2012,Black,4.6 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,73,"53,000","59,491","57,151","6,491"
8219,550,unsp,New,f,10,2014,Black,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,0,"104,165","110,654","111,102","6,489"
3787,400,Hybrid,Used,f,17383,2012,White,3.5 L,Hybrid,CA,Pac,Harman Kardon,Alloy,unsp,82,"44,950","51,438","44,906","6,488"
2352,550,unsp,New,f,8,2014,Blue,4.6 L,Gasoline,OH,ENC,Premium,Alloy,unsp,64,"118,125","111,639","111,086","6,486"
2982,550,unsp,Used,f,17835,2011,Black,5.5 L,Gasoline,FL,SoA,unsp,Alloy,unsp,60,"46,980","53,462","48,939","6,482"
8169,550,unsp,Used,f,33973,2011,Gray,5.5 L,Gasoline,TX,WSC,Bang Olufsen,Alloy,unsp,75,"55,995","49,513","47,322","6,482"
7428,550,unsp,New,f,15,2014,Gray,4.6 L,Gasoline,CT,New,unsp,unsp,unsp,52,"104,165","110,643","111,025","6,478"
2026,550,unsp,New,f,11,2015,Black,4.6 L,Gasoline,TN,ESC,unsp,unsp,unsp,1,"106,075","112,553","112,375","6,478"
7138,550,unsp,CPO,f,21434,2012,Black,4.6 L,Gasoline,IL,ENC,Premium,Alloy,unsp,73,"52,991","59,468","57,254","6,477"
4881,550,unsp,New,f,10,2015,Black,4.6 L,Gasoline,PA,Mid,Premium,unsp,unsp,74,"105,435","111,912","112,580","6,477"
4575,550,unsp,New,f,15,2015,unsp,4.6 L,Gasoline,DE,SoA,Premium,unsp,unsp,74,"107,795","114,272","112,707","6,477"
3331,550,unsp,New,f,6,2015,Silver,4.6 L,Gasoline,PA,Mid,Premium,Alloy,19,105,"104,585","111,061","112,272","6,476"
1,550,unsp,New,f,13,2015,Silver,4.6 L,Gasoline,NJ,Mid,unsp,unsp,19,4,"105,695","112,169","112,320","6,474"
9674,550,unsp,New,f,43,2015,Blue,4.6 L,Gasoline,CA,Pac,unsp,unsp,20,11,"105,725","112,198","112,893","6,473"
1908,550,unsp,CPO,t,9654,2012,Black,4.6 L,Gasoline,TN,ESC,Premium,Alloy,unsp,69,"59,000","65,471","61,790","6,471"
9703,550,unsp,Used,t,701,2014,Black,4.6 L,Gasoline,IL,ENC,unsp,Alloy,unsp,22,"97,994","104,464","102,179","6,470"
940,550,unsp,Used,f,77410,2007,White,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,1,"34,995","28,526","28,491","6,469"
8264,550,unsp,Used,f,22650,2013,White,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,94,"56,900","63,368","60,438","6,468"
97,550,unsp,New,f,5,2014,Black,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"104,665","111,131","110,948","6,466"
6279,550,unsp,Used,f,34569,2007,Silver,5.5 L,Gasoline,IL,ENC,Harman Kardon,Alloy,unsp,63,"39,999","33,537","33,055","6,462"
9120,550,unsp,New,f,12,2015,Silver,4.6 L,Gasoline,AL,ESC,Premium,unsp,unsp,74,"117,475","111,018","112,499","6,457"
3849,550,unsp,New,f,10,2015,Black,4.6 L,Gasoline,SC,SoA,Premium,Alloy,unsp,64,"118,675","112,220","112,496","6,455"
9986,550,unsp,Used,f,47200,2008,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,Chrome,20,27,"29,900","36,347","33,976","6,447"
1067,63 AMG,unsp,New,f,826,2015,Black,5.5 L,Gasoline,NY,Mid,Premium,unsp,unsp,78,"171,115","164,670","163,704","6,445"
5397,550,unsp,Used,f,54607,2010,Silver,5.5 L,Gasoline,TX,WSC,unsp,Alloy,unsp,80,"33,988","40,432","39,812","6,444"
3621,550,unsp,Used,f,111482,2007,Black,5.5 L,Gasoline,CT,New,unsp,Alloy,unsp,34,"29,499","23,057","24,645","6,442"
9846,550,unsp,New,f,8,2014,Silver,4.6 L,Gasoline,PA,Mid,unsp,unsp,unsp,1,"116,915","110,474","111,002","6,441"
4714,550,unsp,New,f,6,2015,Green,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,83,"105,645","112,086","112,425","6,441"
531,550,unsp,Used,t,19165,2011,Black,5.5 L,Gasoline,NJ,Mid,Harman Kardon,Alloy,unsp,75,"57,890","51,450","48,923","6,440"
4123,550,unsp,Used,t,26750,2009,Silver,5.5 L,Gasoline,NE,WNC,Harman Kardon,unsp,unsp,46,"35,995","42,434","39,433","6,439"
68,63 AMG,unsp,New,f,18,2015,Black,5.5 L,Gasoline,NY,Mid,unsp,unsp,unsp,4,"158,515","164,954","164,300","6,439"
2991,550,unsp,New,f,11,2014,Silver,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"116,665","110,228","110,652","6,437"
7720,550,unsp,New,f,4,2015,unsp,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,81,"107,370","113,806","112,286","6,436"
484,550,unsp,New,f,5,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"107,085","113,519","112,080","6,434"
387,550,unsp,Used,f,64293,2010,Blue,5.5 L,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,93,"30,999","37,426","38,688","6,427"
5310,550,unsp,Used,t,13451,2013,Green,4.6 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,91,"57,995","64,421","62,781","6,426"
8836,550,unsp,New,f,8,2015,unsp,4.6 L,Gasoline,AL,ESC,unsp,unsp,18,81,"118,565","112,139","112,518","6,426"
6980,550,unsp,New,f,5,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,81,"105,725","112,144","112,360","6,419"
390,550,unsp,New,f,11,2015,Black,4.6 L,Gasoline,AL,ESC,unsp,Alloy,unsp,75,"104,825","111,242","112,554","6,417"
8206,550,unsp,Used,f,96539,2007,unsp,5.5 L,Gasoline,OH,ENC,unsp,unsp,unsp,9,"29,995","23,578","25,986","6,417"
7323,550,unsp,Used,f,62100,2011,White,5.5 L,Gasoline,NY,Mid,Harman Kardon,unsp,unsp,21,"37,995","44,407","41,316","6,412"
6067,550,unsp,New,f,19,2014,Silver,4.6 L,Gasoline,NY,Mid,unsp,unsp,unsp,65,"104,170","110,582","110,837","6,412"
9301,550,unsp,Used,f,48127,2010,White,5.5 L,Gasoline,FL,SoA,Premium,Alloy,unsp,61,"49,990","43,580","41,458","6,410"
9776,65 AMG,unsp,Used,f,28989,2007,Gray,6.0 L,Gasoline,NY,Mid,unsp,unsp,unsp,44,"63,995","70,402","57,475","6,407"
612,550,unsp,New,f,16,2015,Black,4.6 L,Gasoline,GA,SoA,Premium,Alloy,19,76,"105,550","111,950","112,662","6,400"
8634,600,unsp,Used,f,72193,2007,Green,5.5 L,Gasoline,CA,Pac,unsp,Alloy,unsp,58,"28,979","35,377","30,227","6,398"
6915,550,unsp,New,f,45,2015,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"108,120","114,515","113,714","6,395"
6906,63 AMG,unsp,Used,f,56900,2009,Silver,6.3 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,77,"41,999","48,386","48,972","6,387"
1855,550,unsp,New,f,6,2015,Black,4.6 L,Gasoline,TX,WSC,unsp,unsp,18,89,"119,465","113,079","112,852","6,386"
7647,550,unsp,Used,t,42311,2012,Silver,4.6 L,Gasoline,FL,SoA,Premium,Alloy,18,72,"42,999","49,384","47,590","6,385"
3832,550,unsp,Used,f,45712,2011,Black,5.5 L,Gasoline,VA,SoA,unsp,Alloy,unsp,55,"38,895","45,277","42,342","6,382"
5554,550,unsp,New,f,8,2015,Black,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,66,"107,015","113,393","112,438","6,378"
835,550,unsp,New,f,17,2014,Black,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"104,300","110,676","110,711","6,376"
1883,550,unsp,New,f,5,2015,Silver,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"117,840","111,465","111,937","6,375"
1278,550,unsp,New,f,11,2014,White,4.6 L,Gasoline,CO,Mtn,unsp,unsp,unsp,54,"118,190","111,815","111,982","6,375"
6414,550,unsp,New,f,8,2015,Black,4.6 L,Gasoline,IL,ENC,unsp,unsp,unsp,0,"106,895","113,268","112,238","6,373"
9425,550,unsp,Used,f,69631,2007,Gray,5.5 L,Gasoline,CA,Pac,Harman Kardon,unsp,unsp,8,"32,997","26,624","28,364","6,373"
9174,550,unsp,New,f,1,2014,Silver,4.6 L,Gasoline,FL,SoA,Premium,Alloy,unsp,64,"104,165","110,535","111,117","6,370"
8468,550,unsp,CPO,t,15256,2013,White,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,1,"65,991","72,359","68,218","6,368"
472,550,unsp,New,f,9,2015,Black,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,66,"106,525","112,893","112,475","6,368"
8631,550,unsp,Used,f,44873,2010,Black,5.5 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,68,"35,500","41,865","41,389","6,365"
5253,550,unsp,Used,f,39201,2008,White,5.5 L,Gasoline,NC,SoA,unsp,unsp,unsp,63,"45,985","39,620","36,190","6,365"
7973,550,unsp,New,f,1,2015,Black,4.6 L,Gasoline,TX,WSC,Premium,unsp,unsp,91,"119,475","113,113","112,255","6,362"
2823,550,unsp,New,f,5,2015,White,4.6 L,Gasoline,NY,Mid,Premium,Alloy,unsp,70,"118,960","112,606","113,198","6,354"
3031,550,unsp,New,f,15,2014,Silver,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,4,"116,440","110,090","110,592","6,350"
2849,550,unsp,Used,f,59995,2009,Black,5.5 L,Gasoline,NV,Mtn,Premium,Alloy,unsp,50,"39,900","33,551","33,217","6,349"
9551,550,unsp,New,f,2,2015,Black,4.6 L,Gasoline,NY,Mid,Premium,unsp,unsp,74,"107,015","113,363","112,041","6,348"
7921,550,unsp,New,f,25,2014,Black,4.6 L,Gasoline,NC,SoA,unsp,unsp,18,17,"119,275","112,928","110,917","6,347"
3177,550,unsp,New,f,5,2015,White,4.6 L,Gasoline,GA,SoA,Premium,unsp,unsp,91,"108,000","114,346","113,269","6,346"
7160,550,unsp,New,f,18,2015,unsp,4.6 L,Gasoline,CA,Pac,Premium,Alloy,18,84,"119,370","113,024","112,722","6,346"
631,550,unsp,Used,f,132885,2011,Gray,5.5 L,Gasoline,NY,Mid,unsp,Alloy,unsp,53,"29,995","36,341","34,584","6,346"
981,550,unsp,CPO,t,25965,2012,Black,4.6 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,75,"52,777","59,123","56,409","6,346"
3730,550,unsp,New,f,6,2015,Black,4.6 L,Gasoline,MN,WNC,Premium,Alloy,unsp,60,"106,115","112,460","112,337","6,345"
584,550,unsp,New,f,14,2015,Black,4.7 L,Gasoline,CA,Pac,unsp,Alloy,19,105,"135,165","141,510","133,862","6,345"
4203,550,unsp,New,f,20,2014,Silver,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,70,"117,090","110,746","110,827","6,344"
9934,550,unsp,Used,f,22634,2010,White,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,18,55,"43,995","50,332","47,285","6,337"
2627,63 AMG,unsp,New,f,8,2015,Black,5.5 L,Gasoline,NY,Mid,unsp,unsp,unsp,4,"158,515","164,851","164,472","6,336"
7810,550,unsp,New,f,106,2013,Silver,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,66,"103,075","96,740","97,638","6,335"
1704,550,unsp,Used,t,21826,2012,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,11,"63,668","57,334","54,119","6,334"
1157,550,unsp,CPO,t,69924,2009,Black,5.5 L,Gasoline,NY,Mid,Harman Kardon,Alloy,unsp,70,"29,990","36,324","41,717","6,334"
5164,550,unsp,CPO,f,5440,2013,Silver,4.6 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,35,"81,991","75,659","71,258","6,332"
8871,550,unsp,Used,f,22221,2011,Black,5.5 L,Gasoline,TX,WSC,Harman Kardon,unsp,unsp,22,"59,991","53,660","47,899","6,331"
8991,550,unsp,Used,f,58750,2007,unsp,5.5 L,Gasoline,NY,Mid,Premium,Alloy,unsp,67,"23,995","30,324","29,324","6,329"
4973,550,unsp,Used,f,148543,2007,Silver,5.5 L,Gasoline,NC,SoA,unsp,unsp,unsp,0,"17,500","23,828","22,666","6,328"
9584,550,unsp,Used,t,32499,2013,Gray,4.6 L,Gasoline,CA,Pac,Premium,Alloy,unsp,69,"62,941","56,614","56,903","6,327"
9794,550,unsp,New,f,81,2015,White,4.6 L,Gasoline,NV,Mtn,unsp,unsp,20,11,"119,410","113,084","117,049","6,326"
8600,550,unsp,New,f,19,2015,Black,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,18,81,"119,615","113,290","112,734","6,325"
9365,550,unsp,New,f,2,2015,Silver,4.6 L,Gasoline,NV,Mtn,Premium,Alloy,19,81,"120,245","113,923","114,928","6,322"
7703,550,unsp,New,f,5,2015,Blue,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"119,025","112,705","112,075","6,320"
6471,65 AMG,unsp,CPO,t,31381,2012,Black,6.0 L,Gasoline,TX,WSC,Bang Olufsen,Alloy,unsp,67,"102,991","109,310","105,705","6,319"
121,550,unsp,Used,t,105000,2011,Black,5.5 L,Gasoline,NY,Mid,Premium,unsp,unsp,45,"29,900","36,219","36,825","6,319"
7158,550,unsp,Used,f,16122,2013,Silver,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"71,881","65,563","60,895","6,318"
5037,550,unsp,New,f,12,2015,Black,4.6 L,Gasoline,CA,Pac,Premium,unsp,19,82,"107,435","113,749","112,656","6,314"
9651,550,unsp,CPO,t,25654,2012,Silver,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,9,"53,900","60,212","56,273","6,312"
823,550,unsp,Used,f,69069,2008,Gray,5.5 L,Gasoline,TX,WSC,unsp,Alloy,unsp,48,"37,789","31,479","30,924","6,310"
1553,550,unsp,New,f,5,2014,Blue,4.6 L,Gasoline,CA,Pac,Premium,unsp,unsp,76,"104,925","111,234","111,229","6,309"
879,550,unsp,New,f,5,2014,Blue,4.6 L,Gasoline,CA,Pac,unsp,Alloy,unsp,30,"117,590","111,282","111,188","6,308"
4462,63 AMG,unsp,New,f,11,2014,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,2,"165,485","159,181","157,644","6,304"
4760,550,unsp,New,f,10,2015,Black,4.6 L,Gasoline,NY,Mid,Premium,unsp,unsp,74,"105,610","111,912","112,580","6,302"
9460,550,unsp,Used,t,24830,2013,White,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,2,"56,950","63,251","60,723","6,301"
1515,550,unsp,CPO,f,10300,2012,Silver,4.6 L,Gasoline,WA,Pac,Premium,Alloy,unsp,87,"56,988","63,288","61,112","6,300"
2662,550,unsp,New,f,16,2015,White,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"106,610","112,905","113,077","6,295"
2389,550,unsp,New,f,9,2014,Blue,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"117,440","111,148","110,827","6,292"
838,550,unsp,New,f,13,2015,White,4.6 L,Gasoline,CO,Mtn,unsp,unsp,unsp,61,"120,140","113,851","116,576","6,289"
6263,550,unsp,New,f,219,2013,Silver,4.6 L,Gasoline,PA,Mid,Premium,Alloy,unsp,69,"102,505","96,216","95,116","6,289"
9861,550,unsp,New,f,18,2015,Silver,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,2,"106,215","112,503","112,411","6,288"
8682,550,unsp,New,f,4103,2014,Blue,4.6 L,Gasoline,MO,WNC,unsp,Alloy,18,52,"114,015","107,727","109,720","6,288"
5585,550,unsp,Used,f,71439,2008,White,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,18,65,"26,899","33,183","31,576","6,284"
6205,550,unsp,Used,f,32686,2012,Black,4.6 L,Gasoline,NY,Mid,unsp,Alloy,unsp,23,"46,995","53,278","49,582","6,283"
6057,550,unsp,New,f,24,2015,Black,4.6 L,Gasoline,CA,Pac,Premium,unsp,unsp,77,"119,505","113,225","112,879","6,280"
7339,550,unsp,CPO,f,12078,2011,Black,5.5 L,Gasoline,NJ,Mid,Premium,Alloy,18,76,"51,991","58,271","56,216","6,280"
6855,550,unsp,Used,f,41361,2011,Black,5.5 L,Gasoline,NY,Mid,Harman Kardon,unsp,unsp,21,"41,995","48,273","43,376","6,278"
7001,550,unsp,New,f,8,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"119,545","113,268","112,238","6,277"
2673,63 AMG,unsp,New,f,4483,2015,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,20,79,"164,565","158,289","163,348","6,276"
2687,550,unsp,Used,f,58233,2010,White,5.5 L,Gasoline,FL,SoA,Premium,unsp,unsp,64,"34,997","41,273","40,342","6,276"
5828,550,unsp,Used,f,52628,2008,Blue,5.5 L,Gasoline,FL,SoA,Harman Kardon,Alloy,unsp,76,"38,900","32,627","32,558","6,273"
5842,550,unsp,CPO,f,19925,2013,Silver,4.6 L,Gasoline,PA,Mid,unsp,unsp,unsp,3,"61,991","68,264","64,681","6,273"
6880,550,unsp,Used,f,3461,2014,Black,4.6 L,Gasoline,TX,WSC,unsp,Alloy,unsp,10,"103,993","97,721","97,211","6,272"
5249,550,unsp,New,f,49,2015,Green,4.6 L,Gasoline,OK,WSC,Premium,Alloy,unsp,65,"118,205","111,933","113,415","6,272"
2637,550,unsp,New,f,10,2015,Silver,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,1,"105,725","111,997","112,201","6,272"
570,550,unsp,New,f,17,2015,Black,4.6 L,Gasoline,NY,Mid,Premium,Alloy,unsp,71,"105,625","111,897","112,681","6,272"
5744,550,unsp,New,f,11,2014,White,4.6 L,Gasoline,IL,ENC,unsp,unsp,unsp,0,"117,310","111,039","111,982","6,271"
9694,550,unsp,New,f,13,2014,Blue,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,63,"104,085","110,355","110,979","6,270"
9261,600,unsp,Used,t,55690,2009,Silver,5.5 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,65,"39,900","46,170","33,056","6,270"
5240,550,unsp,New,f,13,2015,Blue,4.6 L,Gasoline,NM,Mtn,Premium,Alloy,19,77,"117,855","111,585","115,636","6,270"
1164,550,unsp,New,f,1,2015,Black,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,1,"106,075","112,341","111,989","6,266"
620,430,unsp,Used,t,27600,2005,Gray,4.3 L,Gasoline,CA,Pac,Premium,unsp,unsp,23,"26,986","20,721","22,969","6,265"
9696,500,unsp,Used,f,39406,1999,Black,5.0 L,Gasoline,AZ,Mtn,unsp,unsp,unsp,1,"19,990","13,726","18,794","6,264"
6232,550,unsp,Used,t,100806,2007,Silver,5.5 L,Gasoline,NJ,Mid,Harman Kardon,Alloy,unsp,56,"29,998","23,737","25,466","6,261"
1933,550,unsp,Used,f,51626,2012,Silver,4.6 L,Gasoline,FL,SoA,Premium,Alloy,20,71,"39,999","46,260","46,033","6,261"
8015,550,unsp,CPO,f,23861,2011,Black,5.5 L,Gasoline,VA,SoA,Harman Kardon,Alloy,unsp,42,"62,895","56,635","52,093","6,260"
1191,550,unsp,Used,t,76910,2008,Black,5.5 L,Gasoline,IL,ENC,Premium,Alloy,unsp,62,"36,991","30,737","30,362","6,254"
9685,430,unsp,Used,f,149421,2000,Black,4.3 L,Gasoline,NJ,Mid,Bose,Alloy,unsp,34,"11,995","5,749","6,702","6,246"
9757,550,unsp,New,f,7,2015,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"105,940","112,182","113,091","6,242"
1770,unsp,unsp,New,f,19,2015,Black,6.0 L,unsp,IL,ENC,Premium,Alloy,unsp,70,"238,025","231,785","158,180","6,240"
1199,550,unsp,New,f,41,2015,Silver,4.7 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,66,"133,025","139,263","135,585","6,238"
5561,550,unsp,CPO,t,26957,2013,Silver,4.6 L,Gasoline,MA,New,unsp,unsp,unsp,7,"58,998","65,235","63,382","6,237"
1409,550,unsp,Used,f,30958,2013,Black,4.6 L,Gasoline,LA,WSC,Harman Kardon,Alloy,19,80,"63,869","57,635","57,349","6,234"
241,550,unsp,CPO,f,49257,2010,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,76,"50,991","44,757","47,418","6,234"
8745,550,unsp,New,f,10,2014,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,59,"105,720","111,954","112,000","6,234"
8632,550,unsp,CPO,f,13847,2013,Gray,4.6 L,Gasoline,FL,SoA,unsp,Alloy,unsp,52,"64,205","70,438","66,078","6,233"
9935,550,unsp,New,f,19,2015,Gray,4.6 L,Gasoline,NY,Mid,Premium,Alloy,unsp,71,"106,475","112,705","119,901","6,230"
8345,550,unsp,New,f,12,2014,Black,4.6 L,Gasoline,MO,WNC,unsp,unsp,unsp,47,"104,525","110,750","111,068","6,225"
210,550,unsp,New,f,423,2015,Black,4.6 L,Gasoline,CA,Pac,Premium,Alloy,18,79,"107,575","113,799","113,692","6,224"
8398,63 AMG,unsp,New,f,8,2015,unsp,5.5 L,Gasoline,CO,Mtn,Premium,Alloy,unsp,78,"158,975","165,198","167,667","6,223"
3823,550,unsp,New,f,5,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,85,"106,075","112,298","112,367","6,223"
1726,65 AMG,unsp,CPO,t,41555,2010,White,6.0 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,70,"78,888","85,109","80,707","6,221"
7984,550,unsp,New,f,21,2015,White,4.6 L,Gasoline,IL,ENC,Premium,Alloy,unsp,65,"120,400","114,179","113,633","6,221"
2678,550,unsp,New,f,25,2014,Silver,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"118,265","112,045","110,785","6,220"
6370,550,unsp,Used,f,108250,2007,White,5.5 L,Gasoline,CA,Pac,Harman Kardon,Steel,unsp,78,"24,990","31,209","26,050","6,219"
2395,550,unsp,New,f,5,2014,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,10,"115,420","109,203","112,132","6,217"
